Country,Happiness Score,GDP per Capita,Family,Healthy Life Expectancy,Freedom,Perception of Government Corruption,Generosity
Mongolia,5.285,0.948,1.531,0.667,0.317,0.038,0.235
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.034,0.185
Nigeria,5.265,0.696,1.111,0.245,0.426,0.041,0.215
Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.023,0.3
Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.394,0.028,0.244
Algeria,5.211,1.002,1.16,0.785,0.086,0.114,0.073
Morocco,5.207999999999998,0.8009999999999999,0.782,0.782,0.418,0.076,0.036000000000000004
Azerbaijan,5.207999999999998,1.043,1.147,0.769,0.35100000000000003,0.182,0.035
Lebanon,5.197,0.987,1.224,0.815,0.21600000000000005,0.027000000000000003,0.166
Indonesia,5.192,0.931,1.203,0.66,0.491,0.028,0.498
China,5.191,1.029,1.125,0.893,0.521,0.1,0.058
Vietnam,5.175,0.741,1.346,0.851,0.5429999999999999,0.073,0.147
Bhutan,5.082,0.813,1.321,0.604,0.457,0.16699999999999998,0.37
Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.037000000000000005,0.187
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.004,0.081
Ghana,4.996,0.611,0.868,0.486,0.381,0.04,0.245
Ivory Coast,4.944,0.569,0.8079999999999999,0.232,0.35200000000000004,0.09,0.154
Nepal,4.913,0.446,1.226,0.677,0.439,0.08900000000000001,0.285
Jordan,4.9060000000000015,0.8370000000000001,1.225,0.815,0.383,0.13,0.11
Benin,4.883,0.393,0.4370000000000001,0.397,0.349,0.08199999999999999,0.175
Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,0.093,0.105
Gabon,4.799,1.057,1.183,0.5710000000000001,0.295,0.055,0.043
Laos,4.796,0.764,1.03,0.551,0.547,0.16399999999999998,0.266
South Africa,4.722,0.96,1.351,0.469,0.389,0.055,0.13
Albania,4.7189999999999985,0.947,0.848,0.8740000000000001,0.383,0.027000000000000003,0.17800000000000002
Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064
Cambodia,4.7,0.574,1.122,0.637,0.609,0.062,0.232
Palestinian Territories,4.6960000000000015,0.657,1.247,0.672,0.225,0.066,0.103
Senegal,4.681,0.45,1.134,0.5710000000000001,0.292,0.07200000000000001,0.153
Somalia,4.668,0.0,0.698,0.268,0.5589999999999999,0.27,0.243
Namibia,4.6389999999999985,0.879,1.3130000000000002,0.477,0.401,0.056,0.07
Niger,4.628,0.138,0.774,0.366,0.318,0.102,0.188
Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.113,0.177
Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.064,0.095
Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.125,0.27
Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.086,0.207
Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043
Gambia,4.516,0.308,0.939,0.428,0.382,0.16699999999999998,0.269
Kenya,4.509,0.512,0.983,0.581,0.431,0.053,0.3720000000000001
Mauritania,4.49,0.57,1.167,0.489,0.066,0.08800000000000001,0.106
Mozambique,4.466,0.204,0.986,0.39,0.494,0.138,0.197
Tunisia,4.461,0.921,1.0,0.815,0.16699999999999998,0.055,0.059
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.14300000000000002,0.166
Iraq,4.437,1.043,0.98,0.574,0.241,0.08900000000000001,0.14800000000000002
Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.269,0.053,0.212
Mali,4.39,0.385,1.105,0.308,0.327,0.052000000000000005,0.153
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.045,0.252
Sri Lanka,4.3660000000000005,0.949,1.265,0.831,0.47,0.047,0.244
Myanmar,4.36,0.71,1.181,0.555,0.525,0.172,0.5660000000000001
Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.078,0.198
Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.01,0.187
Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.1,0.209
Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.135,0.07400000000000001
