Country,Happiness Score_2015,GDP per Capita_2015,Family_2015,Healthy Life Expectancy_2015,Freedom_2015,Perception of Government Corruption_2015,Generosity_2015,Happiness Score_2016,GDP per Capita_2016,Family_2016,Healthy Life Expectancy_2016,Freedom_2016,Perception of Government Corruption_2016,Generosity_2016,Happiness Score_2017,GDP per Capita_2017,Family_2017,Healthy Life Expectancy_2017,Freedom_2017,Perception of Government Corruption_2017,Generosity_2017,Happiness Score_2018,GDP per Capita_2018,Family_2018,Healthy Life Expectancy_2018,Freedom_2018,Perception of Government Corruption_2018,Generosity_2018,Happiness Score_2019,GDP per Capita_2019,Family_2019,Healthy Life Expectancy_2019,Freedom_2019,Perception of Government Corruption_2019,Generosity_2019,Happiness Score_2020,GDP per Capita_2020,Family_2020,Healthy Life Expectancy_2020,Freedom_2020,Perception of Government Corruption_2020,Generosity_2020,6 Year Average
Mexico,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,6.57800006866455,1.1531838178634601,1.2108621597290001,0.709978997707367,0.412730008363724,0.132774114608765,0.12099043279886199,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.095,0.069,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001,6.465000152999999,1.024387479,1.226333499,0.831601024,0.553892553,0.083133668,0.083094485,6.681833370277425
United States of America,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,6.993000030517581,1.54625928401947,1.4199205636978105,0.7742866277694699,0.505740523338318,0.135638788342476,0.392578780651093,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.133,0.29100000000000004,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28,6.9395999910000015,1.37398684,1.4047867059999999,0.831618011,0.534608245,0.152284741,0.298143059,6.988933336919597
Brazil,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,6.6350002288818395,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.11109276115894301,0.16234989464282998,6.419,0.986,1.474,0.675,0.493,0.08800000000000001,0.11,6.3,1.004,1.439,0.802,0.39,0.086,0.099,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.106518604,0.131674588,6.610766681646973
Luxembourg,6.9460000000000015,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.321,0.196,7.09,1.609,1.479,1.012,0.526,0.316,0.19399999999999998,7.2375001910000005,1.536676049,1.3875284190000001,0.986442685,0.610137045,0.367041469,0.19595392,6.98625001784611
Ireland,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,6.977000236511231,1.5357066392898602,1.5582311153411899,0.8097826242446899,0.5731103420257571,0.2983881533145901,0.42785832285881,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298,7.093699932000001,1.446886778,1.470596433,0.975670695,0.587779939,0.37343326200000004,0.295426995,6.985950028085205
Belgium,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,6.89099979400635,1.4637807607650801,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.251343131065369,0.2315033376216889,6.9270000000000005,1.324,1.483,0.894,0.583,0.24,0.188,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.21,0.16,6.863500117999999,1.2958427670000001,1.3986775880000002,0.964901149,0.499805421,0.208724052,0.146966159,6.911749985334391
United Kingdom,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,6.71400022506714,1.44163393974304,1.4964600801467902,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,7.19,1.244,1.433,0.888,0.46399999999999997,0.08199999999999999,0.262,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.278,0.348,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.322601646,0.37343344100000003,6.9524167436778574
Venezuela,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.15399712324142498,0.0644911229610443,0.0650196298956871,4.806,0.996,1.469,0.657,0.133,0.052000000000000005,0.055999999999999994,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064,5.053199768,0.7702386379999999,1.3485468630000002,0.76702553,0.271717221,0.06362477700000001,0.08717915400000001,5.4516999613333335
Singapore,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,6.57200002670288,1.69227766990662,1.35381436347961,0.9494923949241642,0.549840569496155,0.46430778503417997,0.345965981483459,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.457,0.261,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.45299999999999996,0.271,6.3770999910000015,1.519580126,1.39545691,1.137814283,0.635317206,0.533162236,0.21877090600000001,6.515183336283813
Panama,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,6.4520001411438,1.23374843597412,1.3731925487518302,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,6.43,1.112,1.4380000000000002,0.759,0.597,0.063,0.125,6.3210000000000015,1.149,1.442,0.91,0.516,0.054000000000000006,0.109,6.304800033999999,1.097667813,1.3761492969999998,0.878546536,0.57984978,0.054230525999999994,0.097207308,6.499133362523966
Germany,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,6.9510002136230495,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.33626917004585305,6.965,1.34,1.474,0.861,0.586,0.28,0.273,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261,7.075799942000001,1.314184546,1.3685437440000001,0.9721148009999999,0.564274132,0.309362292,0.252037704,6.953466692603842
